AREA is only first order convergence due to kinks.

===================== Geometry ================ ======================= GMRES ======================    ============= TESTS =============

Grid   DOF      Threshold   Quality  Thickness  GMRES Threshold   Iteration   Time Per Iteration (s)    AREA             POLARIZED ENERGY
64     17084     1E-3        5.7E-1       2            1E-3         25          3.3                     818.04           -3.96895E-4
96     38476     1E-3        3.5E-1       2            1E-3         22          10.8                    822.69           -3.85923E-4
128    68699     1E-3        2.3E-1       2            1E-3         20          15.3                    825.29           -3.86240E-4
160    107587    1E-3        1.4E-1       2            1E-3         20          30.5                    827.00           -3.85225E-4
192    154986    1E-3        9.7E-2       2            1E-3         20          43.6                    828.07           -3.84551E-4
256    276100    1E-3        4.5E-2       2            1E-3         20          61.5                    829.53           -3.83710E-4
320    431880    1E-3        2.5E-2       2            1E-3         20          121.2                   830.45           -3.83209E-4
384    622354    1E-3        1.4E-2       2            1E-3         20          170.4                   831.05           -3.83881E-4
512    1107632   1E-3        6.7E-3       2            1E-3         20          247.4                   831.79           -3.83462E-4
640    1730873   1E-3        3.9E-3       2            1E-3         19          828.0                   832.28           -3.83214E-4


